"8 km ESE of Sidney, BC",2015-12-29,4.7,48.62,['123.3']
"18 km ENE of Ashcroft, BC",2015-12-16,3.4,50.83,['121.1']
"5 km SE  of Quebec, QC",2015-12-10,2.7,46.78,['71.19']
"2 km WNW of McAdam, NB",2015-12-07,2.4,45.6 ,['67.34']
"3 km WNW of McAdam, NB",2015-12-07,2.0,45.61,['67.34']
"6 km S of Cornwall, ON",2015-11-28,3.7,44.9 ,['74.4']
"181 km NE  of Keno, YT",2015-11-20,3.5,65.45,['134.0']
"17 km NNE of Quebec, QC",2015-11-11,2.5,46.97,['71.19']
"73 km W   of Village of Queen Charlotte, BC ",2015-10-31,3.3,53.31,['133.1']
"204 km W   of Port Hardy, BC",2015-10-22,4.7,50.51,['130.3']
"217 km E   of Keno, YT",2015-10-21,4.5,64.23,['130.9']
"9 km SSW of Pembroke, ON",2015-10-20,3.8,45.73,['77.14']
"92 km WNW of Fort McPherson, NT",2015-10-16,4.1,68.07,['136.3']
"7 km E   of Sudbury, ON",2015-09-29,3.1,46.51,['80.9']
"30 km WNW of Sainte-Agathe, QC",2015-09-28,2.2,46.18,['74.63']
"208 km W   of Port Hardy, BC",2015-09-24,5.7,50.59,['130.4']
"198 km W   of Port Alice, BC",2015-09-22,4.4,50.32,['130.2']
"57 km ENE of Keno, YT",2015-09-19,3.4,64.32,['134.5']
"10 km E   of Baie-Saint-Paul, QC",2015-09-12,3.1,47.43,['70.37']
"21 km NE  of Shawville, QC",2015-09-09,3.7,45.76,['76.33']
"176 km W   of Port Hardy, BC",2015-09-08,4.0,50.93,['129.9']
"38 km N of Coulee Dam, WA ",2015-09-01,4.3,48.31,['119.0']
"33 km ENE of Kazabazua, QC",2015-08-30,3.2,46.06,['75.62']
"9 km N   of Abbotsford, BC",2015-08-29,2.1,49.14,['122.2']
"8 km NNE of Abbotsford, BC",2015-08-27,1.9,49.13,['122.2']
"28 km NNE of Fredericton, NB",2015-08-27,3.6,46.2 ,['66.59']
"114 km WNW of Fort St. John, BC",2015-08-17,4.6,57 No,['122.1']
"4 km SE   of Val-des-Bois, QC",2015-08-05,3.4,45.89,['75.58']
"176 km W   of Port Hardy, BC",2015-07-29,4.7,50.6 ,[]
"13 km SSE of Hawkesbury, ON felt",2015-07-15,3.9,45.49,['74.55']
"20 km WSW of L'Annonciation, QC",2015-07-07,3.2,46.31,['75.08']
"35 km N   of Trois-Rivieres, QC",2015-07-05,2.7,46.67,['72.61']
"7 km ESE of Abbotsford, BC",2015-07-05,2.7,49.01,['122.1']
"41 km NNW of Yarmouth, NS",2015-07-01,3.8,44.18,['66.32']
"15 km WNW of La Pocatiere, QC",2015-06-28,3.8,47.45,['70.2']
"6 km E   of Penticton, BC",2015-06-18,2.5,49.49,['119.4']
"103 km NNW of Nahanni Butte, NT",2015-06-16,4.1,61.94,['123.8']
"34 km SSW of Fox Creek, AB",2015-06-13,4.4,54.1 ,['116.9']
"304 km ENE of Resolution Island, NU",2015-06-03,3.9,62.85,['60.06']
"6 km WNW of Rocky Mountain House, AB",2015-06-02,3.5,52.4 ,[]
"637 km SW  of Anchorage, AK",2015-05-29,6.7,56.58,['156.4']
"70 km W   of Skagway, AK near the BC border",2015-05-21,4.0,59.49,['136.5']
"85 km SSE of Grand Rapids, MI",2015-05-02,4.2,42.21,['85.43']
"18 km ENE of Temiscaming, QC",2015-05-02,3.3,46.83,['78.93']
"211 km WSW of Bella Bella, BC",2015-04-24,6.3,,[]
"78 km S   of Creston, BC",2015-04-23,4.2,48.4 ,['116.4']
"96 km SSE of Village of Queen Charlotte, BC",2015-04-21,3.6,52.41,['131.7']
"17 km NW  of La Pocatiere, QC",2015-04-21,2.9,47.48,['70.19']
"50 km E   of Saint-Michel-des-Saints, QC",2015-04-20,3.8,46.77,['73.27']
"5 km NNE of La Malbaie, QC",2015-04-10,2.7,47.7 ,['70.13']
"144 km SW  of Port Alice, BC",2015-03-25,4.8,49.24,['128.3']
"offshore Vancouver Island, BC",2015-03-08,4.3,48.76,['129.2']
"162 km W   of Port Alice, BC",2015-03-04,4.9,50.33,['129.7']
"153 km W   of Juneau, AK",2015-02-18,4.3,58.36,['137.0']
"35 km WSW of Wenatchee, WA",2015-02-18,4.4,47.25,['120.7']
"30 km NNE of Sechelt, BC",2015-02-14,3.4,49.73,['123.5']
"132 km ESE of Pond Inlet, NU",2015-02-11,4.5,71.73,['75.74']
"88 km S   of Village of Queen Charlotte, BC",2015-01-25,4.5,52.46,['131.9']
"30 km W   of Fox Creek, AB",2015-01-22,4.4,54.47,['117.2']
"14 km W   of La Pocatiere, QC",2015-01-21,3.7,47.37,['70.22']
"8 km SSW of Valleyfield, QC",2015-01-19,2.6,45.18,['74.17']
"38 km NW  of Sainte-Anne-des-Monts, QC",2015-01-16,4.3,49.42,['66.79']
"38 km W   of Fox Creek, AB",2015-01-14,3.8,54.35,['117.3']
"13 km ENE of Tofino, BC",2015-01-07,4.6,49.17,['125.7']
"208 km W of Port Hardy, BC",2015-01-03,4.5,50.58,['130.4']
"211 km W   of Port Hardy, BC",2015-01-02,5.4,50.73,['130.5']
